T[K]	1/T[1/K]	dEps1	f1	a1	b1	dEps2	f2	a2	b2	dEps3	f3	a3	b3	dEps4	f4	a4	b4	S[S/cm]	Log(S*T)	EpsInf																										
360	0,00278	446,8	1,84	0,1183	1	44,07	116,4	0,9588	1	1203	5,825E8	0,7442	1	0	1,862E6	0,03697	1	0	-бесконечность	66,4	--	--	--	--	--	--	--	--	--																	
350,40508	0,00286	475,382	0,1361	0,1308	1	53,6	66,92	0,9561	1	1274	5,278E8	0,7038	1	461,3	1,862E6	0,04236	1	0	-бесконечность	0	--	--	--	--	--	--	--	--	--																	
348,56969	0,00287	543,29372	0,3457	0,1893	1	53,37	62,88	0,9679	1	1328	5,415E8	0,705	1	480,9	1,862E6	0,06954	1	0	-бесконечность	0	--	--	--	--	--	--	--	--	--																	
346	0,00289	617,9	0,463	0,1257	1	53,92	57,84	0,9755	1	1378	2,564E8	1	1	88,05	9,164E6	0,5942	1	0	-бесконечность	88,29	--	--	--	--	--	--	--	--	--																	
343,9	0,00291	627,4	0,5097	0,1317	1	54,73	55,78	0,9905	1	1401	2,47E8	1	1	103,2	9,414E6	0,5713	1	0	-бесконечность	107,5	--	--	--	--	--	--	--	--	--																	
341,9	0,00292	653,3	0,4246	0,134	1	58,58	45,08	0,9765	1	1415	2,466E8	1	1	133,3	1,273E7	0,5355	1	0	-бесконечность	119,6	--	--	--	--	--	--	--	--	--																	
340,31842	0,00294	698,6	0,3124	0,1335	1	59,93	42,53	0,9831	1	1434	2,401E8	1	1	174,67005	1,38E7	0,5212	1	0	-бесконечность	134,7	--	--	--	--	--	--	--	--	--																	
338	0,00296	714	0,2574	0,14	1	62,88	37,87	0,9829	1	1441	2,423E8	1	1	222,9	2,627E7	0,4681	1	0	-бесконечность	128	--	--	--	--	--	--	--	--	--																	
335,9	0,00298	718,1	0,3113	0,1482	1	64,06	33,93	0,9858	1	1465	2,349E8	1	1	264,6	2,822E7	0,4469	1	0	-бесконечность	136,9	--	--	--	--	--	--	--	--	--																	
334	0,00299	776,4	0,1767	0,1473	1	67,63	30,63	0,9861	1	1474	2,32E8	1	1	330,2	4,095E7	0,4193	1	0	-бесконечность	129,9	--	--	--	--	--	--	--	--	--																	
