PMN-55PSN, 3.5.2023, 13:21
Diameter[mm] 1.000e+00  Thickness[mm] 1.500e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) :  Temp. [K]=3.4394e+02  AC Volt  [Vrms]=3.000e-01
 Freq. [Hz]	 Eps'    	 Eps''   	 Sig' [S/cm]	  Cp' [F]	 Zs' [Ohms]	 Zs'' [Ohms]	M Temp [K]	Tan(Delta)  
3.00000e+06	1.59533e+03	1.41595e+02	2.36319e-04	7.39602e-11	6.31672e+01	-7.11693e+02	3.43901e+02	8.87562e-02
2.14286e+06	1.60711e+03	1.10949e+02	1.32266e-04	7.45062e-11	6.84935e+01	-9.92132e+02	3.43901e+02	6.90367e-02
1.53061e+06	1.61991e+03	9.04888e+01	7.70529e-05	7.50998e-11	7.71024e+01	-1.38027e+03	3.43905e+02	5.58604e-02
1.09329e+06	1.63179e+03	7.55561e+01	4.59553e-05	7.56507e-11	8.89089e+01	-1.92017e+03	3.43904e+02	4.63026e-02
7.80925e+05	1.63998e+03	6.43778e+01	2.79689e-05	7.60301e-11	1.05064e+02	-2.67643e+03	3.43905e+02	3.92553e-02
5.57803e+05	1.64889e+03	5.54454e+01	1.72058e-05	7.64432e-11	1.25367e+02	-3.72829e+03	3.43905e+02	3.36259e-02
3.98431e+05	1.65703e+03	4.84891e+01	1.07480e-05	7.68208e-11	1.52030e+02	-5.19537e+03	3.43906e+02	2.92626e-02
2.84594e+05	1.66450e+03	4.29631e+01	6.80220e-06	7.71668e-11	1.86934e+02	-7.24228e+03	3.43910e+02	2.58115e-02
2.03281e+05	1.67144e+03	3.85543e+01	4.36012e-06	7.74887e-11	2.32936e+02	-1.00984e+04	3.43911e+02	2.30665e-02
1.45201e+05	1.67796e+03	3.49867e+01	2.82619e-06	7.77910e-11	2.93667e+02	-1.40842e+04	3.43914e+02	2.08508e-02
1.03715e+05	1.68399e+03	3.20893e+01	1.85153e-06	7.80704e-11	3.74418e+02	-1.96488e+04	3.43916e+02	1.90556e-02
7.40820e+04	1.68956e+03	2.98417e+01	1.22989e-06	7.83287e-11	4.84285e+02	-2.74190e+04	3.43919e+02	1.76624e-02
5.29157e+04	1.69491e+03	2.80311e+01	8.25190e-07	7.85768e-11	6.32872e+02	-3.82668e+04	3.43918e+02	1.65384e-02
3.77969e+04	1.70000e+03	2.66298e+01	5.59957e-07	7.88128e-11	8.36720e+02	-5.34146e+04	3.43919e+02	1.56646e-02
2.69978e+04	1.70505e+03	2.55142e+01	3.83212e-07	7.90469e-11	1.11571e+03	-7.45605e+04	3.43921e+02	1.49639e-02
1.92842e+04	1.70992e+03	2.46000e+01	2.63916e-07	7.92728e-11	1.49749e+03	-1.04089e+05	3.43923e+02	1.43866e-02
1.37744e+04	1.71481e+03	2.39029e+01	1.83169e-07	7.94996e-11	2.02550e+03	-1.45311e+05	3.43921e+02	1.39391e-02
9.83886e+03	1.71947e+03	2.33710e+01	1.27924e-07	7.97154e-11	2.75763e+03	-2.02886e+05	3.43924e+02	1.35920e-02
7.02775e+03	1.72391e+03	2.30762e+01	9.02214e-08	7.99215e-11	3.79237e+03	-2.83310e+05	3.43925e+02	1.33859e-02
5.01983e+03	1.72843e+03	2.29551e+01	6.41057e-08	8.01309e-11	5.25390e+03	-3.95599e+05	3.43927e+02	1.32809e-02
3.58559e+03	1.73280e+03	2.30630e+01	4.60051e-08	8.03333e-11	7.35284e+03	-5.52442e+05	3.43927e+02	1.33097e-02
2.56114e+03	1.73746e+03	2.33083e+01	3.32103e-08	8.05497e-11	1.03476e+04	-7.71340e+05	3.43930e+02	1.34152e-02
1.82938e+03	1.74235e+03	2.37593e+01	2.41806e-08	8.07763e-11	1.46841e+04	-1.07684e+06	3.43932e+02	1.36363e-02
1.30670e+03	1.74730e+03	2.42649e+01	1.76394e-08	8.10057e-11	2.08763e+04	-1.50330e+06	3.43931e+02	1.38871e-02
9.33358e+02	1.75244e+03	2.48635e+01	1.29104e-08	8.12441e-11	2.97722e+04	-2.09842e+06	3.43934e+02	1.41879e-02
6.66685e+02	1.75764e+03	2.54332e+01	9.43300e-09	8.14852e-11	4.23838e+04	-2.92907e+06	3.43935e+02	1.44700e-02
4.76203e+02	1.76295e+03	2.59248e+01	6.86811e-09	8.17312e-11	6.01204e+04	-4.08833e+06	3.43936e+02	1.47054e-02
3.40145e+02	1.76822e+03	2.65155e+01	5.01757e-09	8.19755e-11	8.55731e+04	-5.70656e+06	3.43937e+02	1.49956e-02
2.42961e+02	1.77343e+03	2.72532e+01	3.68368e-09	8.22171e-11	1.22411e+05	-7.96562e+06	3.43937e+02	1.53675e-02
1.73543e+02	1.77872e+03	2.82797e+01	2.73031e-09	8.24623e-11	1.76772e+05	-1.11185e+07	3.43940e+02	1.58989e-02
1.23960e+02	1.78415e+03	2.98284e+01	2.05702e-09	8.27140e-11	2.59440e+05	-1.55181e+07	3.43939e+02	1.67185e-02
8.85426e+01	1.78963e+03	3.18752e+01	1.57012e-09	8.29681e-11	3.85753e+05	-2.16580e+07	3.43940e+02	1.78111e-02
6.32447e+01	1.79558e+03	3.47160e+01	1.22147e-09	8.32440e-11	5.84258e+05	-3.02190e+07	3.43942e+02	1.93341e-02
4.51748e+01	1.80240e+03	3.82537e+01	9.61387e-10	8.35600e-11	8.94442e+05	-4.21434e+07	3.43942e+02	2.12238e-02
3.22677e+01	1.81006e+03	4.24438e+01	7.61924e-10	8.39152e-11	1.37751e+06	-5.87453e+07	3.43943e+02	2.34489e-02
2.30484e+01	1.81964e+03	4.73092e+01	6.06617e-10	8.43592e-11	2.12674e+06	-8.18002e+07	3.43945e+02	2.59992e-02
